Name,Tier,Category,Relevance,Program Name,Grant Range,Deadline/Cycle,Website,Contact URL,Notes
Fullerton Education Foundation,Local,Foundation (Education),"Direct fundraising arm for Fullerton School District; funds Innovation Seed Grants and P.I.E. Grants for innovative classroom projects including STEM and robotics",Innovation Seed Grants / P.I.E. Grants,$500–$5000,"Innovation Seed: Nov–Dec; P.I.E.: Aug–Sep annually",https://www.fullertoneducationfoundation.org/,https://www.fullertoneducationfoundation.org/grants,"APPLY NOW (P.I.E. opens Aug 2025); Troy teacher applies directly; serves Fullerton School District"
Arnold and Mabel Beckman Foundation — OC Community Grants,Local,Foundation (STEM/Science),"Irvine CA-headquartered; explicitly funds OC youth robotics including robotics and coding programs; JROTC-affiliated youth STEM perfectly aligned",Local OC Community Support Grants,$5000–$25000+,Rolling — submit 3+ months before project start,https://www.beckman-foundation.org/,https://www.beckman-foundation.org/local-community-support/orange-county-ca-community-grants/,"HIGH PRIORITY | APPLY NOW | 501c3 REQUIRED | Contact jcordell@oc-cf.org | Youth must be ≤17 years old"
Orange County Community Foundation (OCCF),Local,Foundation (Community),"Major OC community foundation; administers Inspired Teacher Grant Program for OC public school teachers; STEM track specifically funded by Beckman Foundation",Inspired Teacher Grant Program (STEM),Up to $5000 per project,Annual — spring cycle typically,https://www.oc-cf.org/,https://www.oc-cf.org/grants/available-grants/,"501c3 REQUIRED or school-based applicant; awarded $200K to 60 OC schools in 2024; contact jcordell@oc-cf.org"
Anaheim Community Foundation — Helping Hands Grants,Local,Foundation (Community),"Serves Anaheim and Fullerton-adjacent area; STEM programs and career readiness are listed as priority needs; low barrier to entry",Christopher K. Jarvi Helping Hands Grants,$1000–$2500,Annual — Fall application; December announcement,https://anaheimcf.org/,https://anaheimcf.org/helping-hands-grant/,"Emergency grants available year-round; must primarily impact Anaheim residents; phone 657-582-9181"
Samueli Foundation — Build OC Fund,Local,Foundation (Education/STEM),"OC-headquartered (Henry Samueli co-founded Broadcom); funded Anaheim Union High School District and multiple OC STEM initiatives; Build OC Fund targets OC nonprofits",$50000–$250000+,"Applications open March 2026; close April 2026; awards Fall 2026",https://www.samueli.org/,https://www.samueli.org/for-grantseekers/,"HIGH PRIORITY | APPLY NOW (closes April 2026) | 501c3 REQUIRED | Strong OC STEM focus; supports Anaheim UHSD"
TGR Foundation (Tiger Woods Foundation),Local,Foundation (STEM Education),"Flagship TGR Learning Lab in Anaheim CA serving grades 5–12 with STEM curriculum; has directly partnered with OC STEM Initiative; served 150000+ students; potential co-sponsor or lab partner",TGR Learning Lab Programs / STEM Partnerships,Partnership/in-kind; scholarships up to full tuition,Contact directly; rolling partnerships,https://tgrfoundation.org/,https://tgrfoundation.org/programs/,"HIGH PRIORITY | Physical lab in Anaheim; pursue for mentorship lab access and co-sponsorship; Anaheim = 3 miles from Fullerton"
Raytheon / RTX — Fullerton Facility,Local,Corporate (Aerospace/Defense),"RTX has ~2000 employees at Fullerton CA facility; RTX community grants are given near employee facilities; explicitly supports STEM education and military families; JROTC-friendly",RTX Connect Up Community Grants / Volunteer Grants,"Community grants varies; volunteer grants up to $5000",New requests accepted June 1–July 31 annually,https://www.rtx.com/,https://www.rtx.com/our-responsibility/corporate-responsibility/partners,"HIGH PRIORITY | EMPLOYEE CHAMPION REQUIRED | 501c3 REQUIRED | Fullerton facility is direct tie; seek RTX employees willing to champion"
Fullerton Rotary Club,Local,Civic/Club,"Fullerton Rotary Foundation (est. 1991) funds local nonprofits and youth programs; Rotary clubs routinely support STEM and youth development in home communities",Fullerton Rotary Foundation Youth Grants,$500–$5000,Rolling — contact club directly,https://www.fullertonrotaryclub.com/,https://www.fullertonrotaryclub.com/giving,"Present at a luncheon meeting for best results; JROTC affiliation is positive talking point"
Fullerton Sunrise Rotary Club,Local,Civic/Club,"Newer club with strong youth community focus within Fullerton High School District; supports youth of the community",Club-level community grants,$500–$3000,Rolling — contact club directly,https://www.fullertonsunriserotary.org/,https://www.fullertonsunriserotary.org/,"Good entry point for civic outreach; ask to present at a meeting"
Kiwanis Club of Fullerton,Local,Civic/Club,"Offers college scholarships and community grants to Fullerton-area youth; Kiwanis Children's Fund supports education and youth leadership; scholarship available to HS seniors 3.0+ GPA",Kiwanis Club of Fullerton Scholarship / Club Grants,"$1000–$8000 scholarships; club grants vary",Annual — contact club for current schedule,https://fkcscholarships.com/,https://fkcscholarships.com/scholarship-application-directions/,"Scholarship for individual cadets; also explore club-level grants for program support"
